,Movies,Year,Certificate,IMDB,Metascore,Votes,Gross,Runtime,Genre
2720,Once Upon a Time in Mumbaai,(2010),Not Rated,7.4,No Metascore found,16363,,134 min,"
Action, Crime, Drama            "
2721,Extraordinary Measures,(2010),PG,6.4,45        ,16288,"11,854,694",106 min,"
Drama            "
2722,Elle s'appelait Sarah,(2010),PG-13,7.5,59        ,16129,"7,691,700",111 min,"
Drama, War            "
2723,Mother's Day,(I) (2010),R,6.3,34        ,15985,,112 min,"
Drama, Horror, Thriller            "
2724,Furry Vengeance,(2010),PG,3.8,23        ,15773,"17,596,256",92 min,"
Comedy, Family            "
2725,Wrecked,(2010),R,5.3,61        ,15660,"4,821",91 min,"
Adventure, Drama, Mystery            "
2726,Band Baaja Baaraat,(2010),Not Rated,7.2,No Metascore found,15172,,139 min,"
Comedy, Drama, Romance            "
2727,New Kids Turbo,(2010),Can not catch,6.4,No Metascore found,14998,,84 min,"
Action, Comedy            "
2728,Of Gods and Men,(2010),PG-13,7.2,86        ,14844,"3,954,651",122 min,"
Drama, History            "
2729,Dylan Dog: Dead of Night,(2010),PG-13,5.1,31        ,14665,"1,183,354",107 min,"
Action, Comedy, Crime            "
2730,Five Minarets in New York,(2010),Not Rated,5.8,No Metascore found,14573,,119 min,"
Action            "
2731,Little Big Soldier,(2010),PG-13,6.9,No Metascore found,14573,,96 min,"
Action, Adventure, Comedy            "
2732,Made in Dagenham,(2010),R,7.2,65        ,14458,"1,094,798",113 min,"
Biography, Comedy, Drama            "
2733,Marmaduke,(2010),PG,4.3,30        ,14348,"33,644,788",87 min,"
Comedy, Family            "
2734,Cats & Dogs: The Revenge of Kitty Galore,(2010),PG,4.3,30        ,14048,"43,585,753",82 min,"
Action, Adventure, Comedy            "
2735,Uncle Boonmee Who Can Recall His Past Lives,(2010),Not Rated,6.7,87        ,14017,"183,605",114 min,"
Drama, Fantasy            "
2736,Tiny Furniture,(2010),Not Rated,6.2,72        ,13865,"389,804",98 min,"
Comedy, Drama, Romance            "
2737,Point Blank,(2010),R,6.8,75        ,13463,"706,937",84 min,"
Action, Crime, Drama            "
2738,Kim Bok-nam salinsageonui jeonmal,(2010),Not Rated,7.3,No Metascore found,13440,,115 min,"
Drama, Horror, Thriller            "
2739,Womb,(2010),Not Rated,6.4,48        ,13439,,111 min,"
Drama, Romance, Sci-Fi            "
2740,Just Wright,(2010),PG,5.9,51        ,13413,"21,520,719",100 min,"
Comedy, Romance, Sport            "
2741,Alpha and Omega,(2010),PG,5.2,36        ,13345,"25,077,977",90 min,"
Animation, Adventure, Comedy            "
2742,Nothing to Declare,(2010),Not Rated,6.4,No Metascore found,13331,"182,295",108 min,"
Comedy            "
2743,The Last Circus,(2010),R,6.5,70        ,13239,"40,029",107 min,"
Action, Adventure, Comedy            "
2744,The Shrine,(2010),Not Rated,5.5,No Metascore found,13179,,85 min,"
Horror            "
2745,Beyond the Black Rainbow,(2010),R,6.1,49        ,13168,"56,129",110 min,"
Horror, Sci-Fi, Thriller            "
2746,Ong-bak 3,(2010),R,5.0,38        ,13046,"14,498",99 min,"
Action            "
2747,Housefull,(2010),Not Rated,5.4,No Metascore found,12788,"1,165,104",144 min,"
Comedy            "
2748,Even the Rain,(2010),Not Rated,7.4,69        ,12746,"558,342",103 min,"
Drama, History            "
2749,Howl,(2010),R,6.7,63        ,12565,"617,334",84 min,"
Biography, Drama, Romance            "
2750,Harry Potter and the Deathly Hallows: Part 2,(2011),PG-13,8.1,85        ,764686,"381,011,219",130 min,"
Adventure, Drama, Fantasy            "
2751,The Intouchables,(2011),R,8.5,57        ,760620,"13,182,281",112 min,"
Biography, Comedy, Drama            "
2752,Thor,(2011),PG-13,7.0,57        ,747203,"181,030,624",115 min,"
Action, Adventure, Fantasy            "
2753,Captain America: The First Avenger,(2011),PG-13,6.9,66        ,740543,"176,654,505",124 min,"
Action, Adventure, Sci-Fi            "
2754,X-Men: First Class,(2011),PG-13,7.7,65        ,645586,"146,408,305",131 min,"
Action, Adventure, Sci-Fi            "
2755,Drive,(I) (2011),R,7.8,78        ,571676,"35,061,555",100 min,"
Crime, Drama            "
2756,Limitless,(I) (2011),PG-13,7.4,59        ,527072,"79,249,455",105 min,"
Sci-Fi, Thriller            "
2757,Rise of the Planet of the Apes,(2011),PG-13,7.6,68        ,495903,"176,760,185",105 min,"
Action, Drama, Sci-Fi            "
2758,Source Code,(2011),PG-13,7.5,74        ,484802,"54,712,227",93 min,"
Action, Drama, Mystery            "
2759,Pirates of the Caribbean: On Stranger Tides,(2011),PG-13,6.6,45        ,481352,"241,063,875",136 min,"
Action, Adventure, Fantasy            "
2760,"Crazy, Stupid, Love.",(2011),PG-13,7.4,68        ,472443,"84,351,197",118 min,"
Comedy, Drama, Romance            "
2761,The Hangover Part II,(2011),R,6.5,44        ,463979,"254,464,305",102 min,"
Comedy            "
2762,Mission: Impossible - Ghost Protocol,(2011),PG-13,7.4,73        ,457297,"209,397,903",132 min,"
Action, Adventure, Thriller            "
2763,Warrior,(2011),PG-13,8.2,71        ,436014,"13,657,115",140 min,"
Action, Drama, Sport            "
2764,The Help,(2011),PG-13,8.0,62        ,428601,"169,708,112",146 min,"
Drama            "
2765,The Girl with the Dragon Tattoo,(2011),R,7.8,71        ,423109,"102,515,793",158 min,"
Crime, Drama, Mystery            "
2766,Horrible Bosses,(2011),R,6.9,57        ,421766,"117,538,559",98 min,"
Comedy, Crime            "
2767,Sherlock Holmes: A Game of Shadows,(2011),PG-13,7.5,48        ,420843,"186,848,418",129 min,"
Action, Adventure, Mystery            "
2768,Midnight in Paris,(2011),PG-13,7.7,81        ,388150,"56,816,662",94 min,"
Comedy, Fantasy, Romance            "
2769,Transformers: Dark of the Moon,(2011),PG-13,6.2,42        ,384546,"352,390,543",154 min,"
Action, Adventure, Sci-Fi            "
2770,The Cabin in the Woods,(2011),R,7.0,72        ,376784,"42,073,277",95 min,"
Comedy, Horror            "
2771,In Time,(2011),PG-13,6.7,53        ,370131,"37,520,095",109 min,"
Action, Sci-Fi, Thriller            "
2772,Moneyball,(2011),PG-13,7.6,87        ,369616,"75,605,492",133 min,"
Biography, Drama, Sport            "
2773,Fast Five,(2011),PG-13,7.3,66        ,352562,"209,837,675",130 min,"
Action, Adventure, Crime            "
2774,Friends with Benefits,(2011),R,6.5,63        ,340222,"55,802,754",109 min,"
Comedy, Romance            "
2775,Super 8,(2011),PG-13,7.0,72        ,338533,"127,004,179",112 min,"
Mystery, Sci-Fi, Thriller            "
2776,50/50,(2011),R,7.6,72        ,315437,"35,014,192",100 min,"
Comedy, Drama, Romance            "
2777,Hugo,(2011),PG,7.5,83        ,305107,"73,864,507",126 min,"
Drama, Family, Fantasy            "
2778,Real Steel,(2011),PG-13,7.1,56        ,298265,"85,468,508",127 min,"
Action, Drama, Sci-Fi            "
2779,Contagion,(2011),PG-13,6.7,70        ,282344,"75,658,097",106 min,"
Drama, Thriller            "
2780,Bridesmaids,(I) (2011),R,6.8,75        ,268442,"169,106,725",125 min,"
Comedy, Romance            "
2781,Green Lantern,(2011),PG-13,5.5,39        ,266857,"116,601,172",114 min,"
Action, Adventure, Sci-Fi            "
2782,Kung Fu Panda 2,(2011),PG,7.2,67        ,254002,"165,249,063",90 min,"
Animation, Action, Adventure            "
2783,Unknown,(I) (2011),PG-13,6.8,56        ,249419,"63,686,397",113 min,"
Action, Mystery, Thriller            "
2784,The Adjustment Bureau,(2011),PG-13,7.0,60        ,244159,"62,495,645",106 min,"
Romance, Sci-Fi, Thriller            "
2785,The Grey,(2011),R,6.8,64        ,240624,"51,580,136",117 min,"
Action, Adventure, Drama            "
2786,Rango,(2011),PG,7.2,75        ,236903,"123,477,607",107 min,"
Animation, Adventure, Comedy            "
2787,Paul,(2011),R,7.0,57        ,234902,"37,412,945",104 min,"
Adventure, Comedy, Sci-Fi            "
2788,The Descendants,(2011),R,7.3,84        ,232721,"82,584,160",115 min,"
Comedy, Drama            "
2789,The Artist,(I) (2011),PG-13,7.9,89        ,230645,"44,671,682",100 min,"
Comedy, Drama, Romance            "
2790,Sucker Punch,(2011),PG-13,6.0,33        ,229965,"36,392,502",110 min,"
Action, Adventure, Fantasy            "
2791,I Am Number Four,(2011),PG-13,6.1,36        ,227450,"55,100,437",111 min,"
Action, Adventure, Sci-Fi            "
2792,The Twilight Saga: Breaking Dawn - Part 1,(2011),PG-13,4.9,45        ,224050,"281,287,133",117 min,"
Adventure, Drama, Fantasy            "
2793,Just Go with It,(2011),PG-13,6.4,33        ,221646,"103,028,109",117 min,"
Comedy, Romance            "
2794,A Separation,(2011),PG-13,8.3,95        ,220061,"7,098,492",123 min,"
Drama            "
2795,The Adventures of Tintin,(2011),PG,7.3,68        ,216661,"77,591,831",107 min,"
Animation, Action, Adventure            "
2796,The Ides of March,(2011),R,7.1,67        ,215504,"40,962,534",101 min,"
Drama, Thriller            "
2797,The Lincoln Lawyer,(2011),R,7.3,63        ,214884,"58,009,200",118 min,"
Crime, Drama, Mystery            "
2798,No Strings Attached,(I) (2011),R,6.2,50        ,213879,"70,662,220",108 min,"
Comedy, Romance            "
2799,Cowboys & Aliens,(2011),PG-13,6.0,50        ,207685,"100,240,551",119 min,"
Action, Sci-Fi, Thriller            "
2800,Rio,(2011),G,6.9,63        ,206468,"143,619,809",96 min,"
Animation, Adventure, Comedy            "
2801,Bad Teacher,(2011),R,5.6,47        ,193260,"100,292,856",92 min,"
Comedy, Romance            "
2802,The Raid: Redemption,(2011),R,7.6,73        ,190554,"4,105,123",101 min,"
Action, Thriller            "
2803,Hanna,(2011),PG-13,6.8,65        ,190257,"40,259,119",111 min,"
Action, Adventure, Drama            "
2804,Tinker Tailor Soldier Spy,(2011),R,7.1,85        ,187572,"24,149,393",122 min,"
Drama, Mystery, Thriller            "
2805,Shame,(2011),NC-17,7.2,72        ,183531,"4,000,304",101 min,"
Drama            "
2806,Battle Los Angeles,(2011),PG-13,5.7,37        ,174434,"83,552,429",116 min,"
Action, Sci-Fi            "
2807,Melancholia,(2011),R,7.2,80        ,168243,"3,029,870",135 min,"
Drama, Sci-Fi            "
2808,The Tree of Life,(2011),PG-13,6.8,85        ,167955,"13,303,319",139 min,"
Drama, Fantasy            "
2809,The Change-Up,(2011),R,6.3,39        ,167627,"37,243,418",112 min,"
Comedy, Fantasy            "
2810,Cars 2,(2011),G,6.1,57        ,161204,"191,452,396",106 min,"
Animation, Adventure, Comedy            "
2811,Immortals,(2011),R,6.0,46        ,160817,"83,504,017",110 min,"
Action, Drama, Fantasy            "
2812,The Green Hornet,(2011),PG-13,5.8,39        ,155145,"98,780,042",119 min,"
Action, Comedy, Crime            "
2813,The Mechanic,(2011),R,6.6,49        ,150861,"29,121,498",93 min,"
Action, Crime, Thriller            "
2814,War Horse,(2011),PG-13,7.2,72        ,147062,"79,884,879",146 min,"
Action, Adventure, Drama            "
2815,Puss in Boots,(2011),PG,6.6,65        ,144480,"149,260,504",90 min,"
Animation, Action, Adventure            "
2816,One Day,(2011),PG-13,7.0,48        ,139202,"13,843,771",107 min,"
Drama, Romance            "
2817,The Skin I Live In,(2011),R,7.6,70        ,138977,"3,185,812",120 min,"
Drama, Horror, Thriller            "
2818,We Need to Talk About Kevin,(2011),R,7.5,68        ,138158,"1,738,692",112 min,"
Drama, Mystery, Thriller            "
2819,We Bought a Zoo,(2011),PG,7.1,58        ,135008,"75,624,550",124 min,"
Comedy, Drama, Family            "
2820,Tower Heist,(2011),PG-13,6.2,59        ,134050,"78,046,570",104 min,"
Action, Comedy, Crime            "
2821,Scream 4,(2011),R,6.1,52        ,128104,"38,180,928",111 min,"
Horror, Mystery            "
2822,Killer Elite,(2011),R,6.4,44        ,123887,"25,124,986",116 min,"
Action, Crime, Thriller            "
2823,J. Edgar,(2011),R,6.5,59        ,122631,"37,306,030",137 min,"
Biography, Drama, Romance            "
2824,The Thing,(I) (2011),R,6.2,49        ,122297,"16,928,670",103 min,"
Horror, Mystery, Sci-Fi            "
2825,Johnny English Reborn,(2011),PG,6.3,46        ,120840,"8,305,970",101 min,"
Action, Adventure, Comedy            "
2826,Hall Pass,(2011),R,5.8,45        ,119935,"45,060,734",105 min,"
Comedy, Romance            "
2827,Carnage,(2011),R,7.2,61        ,119524,"2,547,047",80 min,"
Comedy, Drama            "
2828,Margin Call,(2011),R,7.1,76        ,116846,"5,354,039",107 min,"
Drama, Thriller            "
2829,Priest,(2011),PG-13,5.7,41        ,115104,"29,136,626",87 min,"
Action, Horror, Thriller            "
2830,Water for Elephants,(2011),PG-13,6.9,52        ,111293,"58,709,717",120 min,"
Drama, Romance            "
2831,Ghost Rider: Spirit of Vengeance,(2011),PG-13,4.3,34        ,111017,"51,774,002",96 min,"
Action, Fantasy, Thriller            "
2832,Red Riding Hood,(2011),PG-13,5.5,29        ,108042,"37,662,162",100 min,"
Fantasy, Horror, Mystery            "
2833,Final Destination 5,(2011),R,5.8,50        ,106746,"42,587,643",92 min,"
Action, Fantasy, Horror            "
2834,The Three Musketeers,(2011),PG-13,5.7,35        ,103477,"20,377,913",110 min,"
Action, Adventure, Fantasy            "
2835,The Iron Lady,(2011),PG-13,6.4,54        ,103371,"30,017,992",105 min,"
Biography, Drama            "
2836,Attack the Block,(2011),R,6.6,75        ,99775,"1,024,175",88 min,"
Action, Adventure, Comedy            "
2837,Fright Night,(2011),R,6.3,64        ,99578,"18,298,649",106 min,"
Comedy, Horror            "
2838,The Rum Diary,(2011),R,6.2,56        ,99065,"13,100,042",119 min,"
Comedy, Drama            "
2839,A Dangerous Method,(2011),R,6.4,76        ,98778,"5,702,083",99 min,"
Biography, Drama, Romance            "
2840,Extremely Loud & Incredibly Close,(2011),PG-13,6.9,46        ,97829,"31,847,881",129 min,"
Adventure, Drama, Mystery            "
2841,Jo Nesbø's Headhunters,(2011),R,7.5,72        ,96932,"1,196,752",96 min,"
Action, Crime, Thriller            "
2842,Your Highness,(2011),R,5.5,31        ,96572,"21,596,445",102 min,"
Adventure, Comedy, Fantasy            "
2843,Conan the Barbarian,(2011),R,5.2,36        ,95300,"21,295,021",113 min,"
Action, Adventure, Fantasy            "
2844,Colombiana,(2011),PG-13,6.4,45        ,94487,"36,665,854",108 min,"
Action, Drama, Thriller            "
2845,Drive Angry,(2011),R,5.4,44        ,94429,"10,706,786",104 min,"
Action, Fantasy, Thriller            "
2846,30 Minutes or Less,(2011),R,6.1,49        ,94298,"37,053,924",83 min,"
Action, Comedy, Crime            "
2847,Take Shelter,(2011),R,7.4,85        ,91371,"1,729,969",120 min,"
Drama, Horror, Thriller            "
2848,The Rite,(2011),PG-13,6.0,38        ,90938,"33,047,633",114 min,"
Drama, Horror, Mystery            "
2849,Another Earth,(2011),PG-13,7.0,66        ,90829,"1,316,074",92 min,"
Drama, Romance, Sci-Fi            "
2850,Season of the Witch,(2011),PG-13,5.4,28        ,90426,"24,827,228",95 min,"
Action, Adventure, Fantasy            "
2851,Paranormal Activity 3,(2011),R,5.8,59        ,90333,"104,007,828",83 min,"
Horror, Mystery            "
2852,The Best Exotic Marigold Hotel,(2011),PG-13,7.2,62        ,90243,"46,412,041",124 min,"
Comedy, Drama, Romance            "
2853,Mr. Popper's Penguins,(2011),PG,6.0,53        ,88393,"68,224,452",94 min,"
Comedy, Family, Fantasy            "
2854,You're Next,(2011),R,6.6,66        ,88282,"18,474,268",95 min,"
Action, Crime, Horror            "
2855,The Muppets,(2011),PG,7.1,75        ,87521,"88,631,237",103 min,"
Adventure, Comedy, Family            "
2856,The Smurfs,(2011),PG,5.4,30        ,83888,"142,614,158",103 min,"
Animation, Adventure, Comedy            "
2857,Goon,(2011),R,6.8,64        ,83800,"4,168,144",92 min,"
Comedy, Drama, Sport            "
2858,Our Idiot Brother,(2011),R,6.4,60        ,83716,"24,814,830",90 min,"
Comedy, Drama            "
2859,Haywire,(2011),R,5.8,67        ,83558,"18,942,396",93 min,"
Action, Drama, Thriller            "
2860,My Week with Marilyn,(2011),R,6.9,65        ,83417,"14,600,347",99 min,"
Biography, Drama            "
2861,New Year's Eve,(2011),PG-13,5.7,22        ,82279,"54,544,638",118 min,"
Comedy, Romance            "
2862,Blitz,(2011),R,6.2,No Metascore found,81976,,97 min,"
Action, Crime, Thriller            "
2863,Jane Eyre,(2011),PG-13,7.3,76        ,81671,"11,242,660",120 min,"
Drama, Romance            "
2864,The Guard,(2011),R,7.3,78        ,80972,"5,359,774",96 min,"
Comedy, Crime, Thriller            "
2865,Young Adult,(2011),R,6.2,71        ,80573,"16,311,571",94 min,"
Comedy, Drama            "
2866,The Inbetweeners,(2011),R,6.7,44        ,78525,"36,000",97 min,"
Comedy            "
2867,Jack and Jill,(I) (2011),PG,3.3,23        ,78244,"74,158,157",91 min,"
Comedy            "
2868,Detachment,(2011),Not Rated,7.7,52        ,77086,"71,177",98 min,"
Drama            "
2869,Abduction,(I) (2011),PG-13,5.1,25        ,76619,"28,087,155",106 min,"
Action, Mystery, Thriller            "
2870,Beastly,(2011),PG-13,5.6,40        ,75478,"27,865,571",86 min,"
Drama, Fantasy, Romance            "
2871,Killer Joe,(2011),R,6.7,62        ,72952,"1,987,762",102 min,"
Crime, Drama, Thriller            "
2872,What's Your Number?,(2011),R,6.1,35        ,72593,"14,008,193",106 min,"
Comedy, Romance            "
2873,The Sitter,(2011),R,5.7,39        ,68168,"30,538,669",81 min,"
Comedy            "
2874,Zindagi Na Milegi Dobara,(2011),Not Rated,8.1,No Metascore found,67938,"3,108,485",155 min,"
Comedy, Drama            "
2875,God Bless America,(2011),R,7.2,56        ,67878,"122,029",105 min,"
Comedy, Crime, Drama            "
2876,A Very Harold & Kumar Christmas,(2011),R,6.3,61        ,65888,"35,033,759",90 min,"
Adventure, Comedy            "
2877,The Eagle,(2011),PG-13,6.2,55        ,65569,"19,490,041",114 min,"
Action, Adventure, Drama            "
2878,Larry Crowne,(2011),PG-13,6.1,41        ,63492,"35,608,245",98 min,"
Comedy, Drama, Romance            "
2879,Dream House,(2011),PG-13,6.0,35        ,63467,"21,283,440",84 min,"
Drama, Mystery, Thriller            "
2880,The Awakening,(I) (2011),R,6.5,53        ,63294,,102 min,"
Horror, Thriller            "
2881,Machine Gun Preacher,(2011),R,6.8,43        ,63131,"538,690",129 min,"
Action, Biography, Crime            "
2882,Red State,(2011),R,6.2,50        ,62090,"1,104,682",88 min,"
Action, Crime, Horror            "
2883,Salmon Fishing in the Yemen,(2011),PG-13,6.8,58        ,61985,"9,025,107",107 min,"
Comedy, Drama, Romance            "
2884,"Jeff, Who Lives at Home",(2011),R,6.5,60        ,61866,"4,244,155",83 min,"
Comedy, Drama            "
2885,The Devil's Double,(2011),R,7.1,52        ,60195,"1,357,042",109 min,"
Biography, Drama, Thriller            "
2886,Like Crazy,(2011),PG-13,6.7,68        ,59337,"3,413,908",86 min,"
Drama, Romance            "
2887,The Darkest Hour,(2011),PG-13,4.9,18        ,57856,"21,426,805",89 min,"
Action, Adventure, Horror            "
2888,Something Borrowed,(2011),PG-13,5.9,36        ,57624,"39,046,489",112 min,"
Comedy, Drama, Romance            "
2889,Zookeeper,(2011),PG,5.2,30        ,57515,"80,360,843",102 min,"
Comedy, Family, Fantasy            "
2890,Bernie,(2011),PG-13,6.8,75        ,57144,"9,203,192",104 min,"
Biography, Comedy, Crime            "
2891,The Art of Getting By,(2011),PG-13,6.6,36        ,56453,"1,429,260",83 min,"
Drama, Romance            "
2892,Perfect Sense,(2011),R,7.1,55        ,56299,"2,959",92 min,"
Drama, Romance, Sci-Fi            "
2893,Apollo 18,(2011),PG-13,5.2,24        ,53891,"17,686,929",86 min,"
Horror, Mystery, Sci-Fi            "
2894,Sanctum,(2011),R,5.9,42        ,53564,"23,070,045",108 min,"
Action, Adventure, Drama            "
2895,Grave Encounters,(2011),Not Rated,6.1,33        ,52832,,92 min,"
Horror, Mystery, Thriller            "
2896,Arthur Christmas,(2011),PG,7.1,69        ,52819,"46,462,469",97 min,"
Animation, Adventure, Comedy            "
2897,Win Win,(2011),R,7.1,75        ,52644,"10,179,275",106 min,"
Comedy, Drama, Sport            "
2898,Gnomeo & Juliet,(2011),G,5.9,53        ,52345,"99,967,670",84 min,"
Animation, Adventure, Comedy            "
2899,The Dilemma,(2011),PG-13,5.3,46        ,51831,"48,475,290",111 min,"
Comedy, Drama            "
2900,Take Me Home Tonight,(2011),R,6.3,42        ,51235,"6,923,891",97 min,"
Comedy, Drama, Romance            "
2901,Arthur,(I) (2011),PG-13,5.7,36        ,50625,"33,035,397",110 min,"
Comedy, Romance            "
2902,The Flowers of War,(2011),R,7.6,46        ,49637,"9,213",146 min,"
Drama, History, Romance            "
2903,Don 2,(2011),Not Rated,7.1,49        ,49463,"3,680,306",148 min,"
Action, Crime, Thriller            "
2904,Martha Marcy May Marlene,(2011),R,6.9,75        ,49156,"2,981,638",102 min,"
Drama, Mystery, Thriller            "
2905,The Beaver,(2011),PG-13,6.6,60        ,47384,"970,816",91 min,"
Drama            "
2906,Footloose,(2011),PG-13,5.9,58        ,46410,"51,802,742",113 min,"
Comedy, Drama, Music            "
2907,Kill the Irishman,(2011),R,7.1,50        ,45865,"1,187,711",106 min,"
Biography, Crime, Drama            "
2908,Soul Surfer,(2011),PG,7.0,53        ,45737,"43,853,424",112 min,"
Biography, Drama, Family            "
2909,Seeking Justice,(2011),R,6.2,38        ,44626,"41,081",105 min,"
Action, Crime, Drama            "
2910,Hobo with a Shotgun,(2011),Not Rated,6.1,55        ,44012,"703,002",86 min,"
Action, Comedy, Horror            "
2911,The Big Year,(2011),PG,6.2,53        ,42095,"7,204,138",100 min,"
Comedy            "
2912,Once Upon a Time in Anatolia,(2011),Not Rated,7.9,82        ,42002,"138,730",157 min,"
Crime, Drama            "
2913,Happy Feet Two,(2011),PG,5.9,50        ,41763,"64,006,466",100 min,"
Animation, Adventure, Comedy            "
2914,Trespass,(2011),R,5.3,37        ,41717,"16,816",91 min,"
Crime, Drama, Thriller            "
2915,Monte Carlo,(2011),PG,5.8,43        ,41277,"23,186,769",109 min,"
Adventure, Comedy, Family            "
2916,Friends with Kids,(2011),R,6.1,55        ,41117,"7,250,054",107 min,"
Comedy, Drama, Romance            "
2917,Ironclad,(2011),R,6.1,42        ,40277,,121 min,"
Action, Drama, History            "
2918,Rockstar,(2011),Not Rated,7.7,No Metascore found,39510,"985,912",159 min,"
Drama, Music, Musical            "
2919,Anonymous,(I) (2011),PG-13,6.9,50        ,39290,"4,463,292",130 min,"
Drama, Thriller            "
2920,Mientras duermes,(2011),Not Rated,7.2,70        ,39132,,102 min,"
Drama, Thriller            "
2921,The Hidden Face,(2011),R,7.4,No Metascore found,38489,,97 min,"
Drama, Mystery, Thriller            "
2922,Ra.One,(2011),Not Rated,4.7,60        ,38239,"2,511,689",156 min,"
Action, Adventure, Sci-Fi            "
2923,The Hunter,(IV) (2011),R,6.7,63        ,36736,"176,432",100 min,"
Adventure, Drama, Thriller            "
2924,Kill List,(2011),Not Rated,6.4,67        ,36666,"26,297",95 min,"
Action, Crime, Horror            "
2925,The Roommate,(I) (2011),PG-13,4.8,23        ,36581,"37,300,107",91 min,"
Thriller            "
2926,Cedar Rapids,(2011),R,6.2,70        ,35950,"6,857,503",87 min,"
Comedy            "
2927,The Human Centipede II (Full Sequence),(2011),Not Rated,3.8,17        ,35812,"122,890",91 min,"
Horror            "
2928,From Up on Poppy Hill,(2011),PG,7.4,71        ,35524,"1,002,895",91 min,"
Animation, Drama, Family            "
2929,The Divide,(2011),R,5.8,28        ,35406,"22,000",112 min,"
Drama, Horror, Sci-Fi            "
2930,In the Land of Blood and Honey,(2011),R,4.5,56        ,33414,"303,877",127 min,"
Drama, Romance, War            "
2931,The Innkeepers,(2011),R,5.5,64        ,32978,"77,501",101 min,"
Drama, Horror, Mystery            "
2932,Straw Dogs,(2011),R,5.8,45        ,32722,"10,324,441",110 min,"
Action, Drama, Thriller            "
2933,This Must Be the Place,(2011),R,6.7,61        ,32655,"142,242",118 min,"
Adventure, Comedy, Drama            "
2934,Flypaper,(2011),Not Rated,6.4,37        ,31725,"1,098",87 min,"
Comedy, Crime, Mystery            "
2935,Alvin and the Chipmunks: Chipwrecked,(2011),G,4.3,24        ,31539,"133,110,742",87 min,"
Animation, Adventure, Comedy            "
2936,Hop,(2011),PG,5.4,41        ,31313,"108,085,305",95 min,"
Animation, Adventure, Comedy            "
2937,Coriolanus,(2011),R,6.1,79        ,31021,"756,452",123 min,"
Drama, Thriller, War            "
2938,Sleeping Beauty,(2011),Not Rated,5.3,57        ,30960,"37,710",101 min,"
Drama, Romance, Thriller            "
2939,Hysteria,(2011),R,6.7,53        ,30505,"1,800,000",100 min,"
Biography, Comedy, Romance            "
2940,Tyrannosaur,(2011),Not Rated,7.6,65        ,30343,"22,088",92 min,"
Drama            "
2941,The Double,(I) (2011),PG-13,5.9,37        ,28755,,98 min,"
Action, Crime, Drama            "
2942,Weekend,(II) (2011),Not Rated,7.6,81        ,28086,"455,459",97 min,"
Drama, Romance            "
2943,A Little Bit of Heaven,(2011),PG-13,6.3,14        ,27757,"10,011",106 min,"
Comedy, Drama, Fantasy            "
2944,Delhi Belly,(2011),Not Rated,7.6,66        ,27564,"1,531,757",103 min,"
Action, Comedy, Crime            "
2945,A Lonely Place to Die,(2011),R,6.2,No Metascore found,27526,,99 min,"
Action, Adventure, Crime            "
2946,Take This Waltz,(2011),R,6.6,68        ,27306,"1,237,514",116 min,"
Comedy, Drama            "
2947,The Resident,(2011),R,5.3,No Metascore found,26441,,91 min,"
Drama, Horror, Mystery            "
2948,The Kid with a Bike,(2011),PG-13,7.4,87        ,26380,"1,384,749",87 min,"
Drama, Family            "
2949,Diary of a Wimpy Kid: Rodrick Rules,(2011),PG,6.5,51        ,26292,"52,698,535",99 min,"
Comedy, Family            "
2950,Your Sister's Sister,(2011),R,6.7,72        ,26229,"1,573,712",90 min,"
Comedy, Drama, Romance            "
2951,"Big Mommas: Like Father, Like Son",(2011),PG-13,4.4,22        ,25487,"37,915,414",107 min,"
Action, Comedy, Crime            "
2952,Shark Night,(2011),PG-13,4.0,22        ,24747,"18,872,522",90 min,"
Horror, Thriller            "
2953,Chalet Girl,(2011),R,6.3,42        ,24118,"1,201",97 min,"
Comedy, Romance, Sport            "
2954,10 Years,(2011),PG-13,6.1,61        ,23725,"203,373",100 min,"
Comedy, Drama, Romance            "
2955,Albert Nobbs,(2011),R,6.7,57        ,23500,"3,014,696",113 min,"
Drama, Romance            "
2956,Rampart,(2011),R,5.8,70        ,23120,"969,239",108 min,"
Crime, Drama            "
2957,Spy Kids 4-D: All the Time in the World,(2011),PG,3.5,37        ,22926,"38,538,188",89 min,"
Animation, Action, Adventure            "
2958,Puncture,(2011),R,6.8,54        ,22871,"67,071",100 min,"
Biography, Drama            "
2959,Dolphin Tale,(2011),PG,6.9,64        ,22441,"72,286,779",113 min,"
Drama, Family            "
2960,Bodyguard,(I) (2011),Not Rated,4.6,41        ,22271,,130 min,"
Action, Comedy, Drama            "
2961,Rundskop,(2011),R,7.4,68        ,22247,"151,840",129 min,"
Crime, Drama            "
2962,The Woman,(I) (2011),R,6.0,58        ,21997,,101 min,"
Drama, Horror            "
2963,Winnie the Pooh,(2011),G,7.2,74        ,21930,"26,692,846",63 min,"
Animation, Adventure, Comedy            "
2964,Silent House,(2011),R,5.2,49        ,21759,"12,555,230",86 min,"
Drama, Horror, Mystery            "
2965,Losers' Club,(2011),Can not catch,7.6,No Metascore found,21747,,105 min,"
Comedy, Drama, Romance            "
2966,A Good Old Fashioned Orgy,(2011),R,6.1,44        ,21319,"154,604",95 min,"
Comedy, Romance            "
2967,Mars Needs Moms,(2011),PG,5.4,49        ,21127,"21,379,315",88 min,"
Animation, Action, Adventure            "
